Ending Weight Token,Ending Weight USD,Sale Rate, Total Proceeds ,Unsold Tokens,Average Price,Min Price
0.01,0.99,0.73," $2,324,634.74 ",13500000,0.063688623,0.00200464
0.01,0.99,0.74," $2,410,422.56 ",13000000,0.065146556,0.002149815
0.01,0.99,0.75," $2,499,527.06 ",12500000,0.066654055,0.002309346
0.01,0.99,0.76," $2,592,121.23 ",12000000,0.068213717,0.002485174
0.01,0.99,0.77," $2,688,391.53 ",11500000,0.069828351,0.002679595
0.01,0.99,0.78," $2,788,539.48 ",11000000,0.071501012,0.002895334
0.01,0.99,0.79," $2,892,783.54 ",10500000,0.073235026,0.003135652
0.01,0.99,0.8," $3,001,361.27 ",10000000,0.075034032,0.003404483
0.01,0.99,0.81," $3,114,532.00 ",9500000,0.076902025,0.003706613
0.01,0.99,0.82," $3,232,579.90 ",9000000,0.078843412,0.004047921
0.01,0.99,0.83," $3,355,817.78 ",8500000,0.080863079,0.004435704
0.01,0.99,0.84," $3,484,591.74 ",8000000,0.08296647,0.004879127
0.01,0.99,0.85," $3,619,286.86 ",7500000,0.085159691,0.005389856
0.01,0.99,0.86," $3,760,334.44 ",7000000,0.087449638,0.005982959
0.01,0.99,0.87," $3,908,221.08 ",6500000,0.089844163,0.006678233
0.01,0.99,0.88," $4,063,500.61 ",6000000,0.092352287,0.007502195
0.01,0.99,0.89," $4,226,809.68 ",5500000,0.094984487,0.008491167
0.01,0.99,0.9," $4,398,888.93 ",5000000,0.097753087,0.009696231
0.01,0.99,0.91," $4,580,612.31 ",4500000,0.100672798,0.011191503
0.01,0.99,0.92," $4,773,028.95 ",4000000,0.103761499,0.013088654
0.01,0.99,0.93," $4,977,425.29 ",3500000,0.107041404,0.015563964
0.01,0.99,0.94," $5,195,421.40 ",3000000,0.110540881,0.018912574
0.01,0.99,0.95," $5,429,128.57 ",2500000,0.114297444,0.023668249
0.01,0.99,0.96," $5,681,425.94 ",2000000,0.11836304,0.030903841
0.01,0.99,0.97," $5,956,491.70 ",1500000,0.122814262,0.04313648
0.01,0.99,0.98," $6,260,956.34 ",1000000,0.127774619,0.067968627
0.01,0.99,0.99," $6,606,889.34 ",500000,0.133472512,0.143838489
0.02,0.98,0.01," $9,099.48 ",49500000,0.018198966,0.000130052
0.02,0.98,0.02," $18,461.91 ",49000000,0.018461913,0.000135358
0.02,0.98,0.03," $28,095.09 ",48500000,0.018730063,0.00014089
0.02,0.98,0.04," $38,007.08 ",48000000,0.019003542,0.000146659
0.02,0.98,0.05," $48,206.20 ",47500000,0.019282482,0.000152675
0.02,0.98,0.06," $58,701.05 ",47000000,0.019567015,0.00015895
0.02,0.98,0.07," $69,500.48 ",46500000,0.01985728,0.000165496
0.02,0.98,0.08," $80,613.68 ",46000000,0.02015342,0.000172327
0.02,0.98,0.09," $92,050.11 ",45500000,0.020455581,0.000179455
0.02,0.98,0.1," $103,819.56 ",45000000,0.020763913,0.000186897
0.02,0.98,0.11," $115,932.15 ",44500000,0.021078573,0.000194666
0.02,0.98,0.12," $128,398.33 ",44000000,0.021399721,0.000202779
0.02,0.98,0.13," $141,228.90 ",43500000,0.021727523,0.000211253
0.02,0.98,0.14," $154,435.05 ",43000000,0.022062149,0.000220106
0.02,0.98,0.15," $168,028.32 ",42500000,0.022403777,0.000229358
0.02,0.98,0.16," $182,020.69 ",42000000,0.022752586,0.000239027
0.02,0.98,0.17," $196,424.51 ",41500000,0.023108766,0.000249136
0.02,0.98,0.18," $211,252.59 ",41000000,0.02347251,0.000259707
0.02,0.98,0.19," $226,518.17 ",40500000,0.023844018,0.000270764
0.02,0.98,0.2," $242,234.97 ",40000000,0.024223497,0.000282332
0.02,0.98,0.21," $258,417.18 ",39500000,0.02461116,0.000294439
0.02,0.98,0.22," $275,079.51 ",39000000,0.025007228,0.000307113
0.02,0.98,0.23," $292,237.19 ",38500000,0.02541193,0.000320384
0.02,0.98,0.24," $309,906.01 ",38000000,0.025825501,0.000334284
0.02,0.98,0.25," $328,102.31 ",37500000,0.026248185,0.000348848
0.02,0.98,0.26," $346,843.05 ",37000000,0.026680235,0.000364112
0.02,0.98,0.27," $366,145.81 ",36500000,0.027121912,0.000380115
0.02,0.98,0.28," $386,028.81 ",36000000,0.027573486,0.000396898
0.02,0.98,0.29," $406,510.96 ",35500000,0.028035239,0.000414506
0.02,0.98,0.3," $427,611.89 ",35000000,0.028507459,0.000432985
0.02,0.98,0.31," $449,351.96 ",34500000,0.028990449,0.000452386
0.02,0.98,0.32," $471,752.31 ",34000000,0.029484519,0.000472761
0.02,0.98,0.33," $494,834.89 ",33500000,0.029989994,0.00049417
0.02,0.98,0.34," $518,622.53 ",33000000,0.030507208,0.000516672
0.02,0.98,0.35," $543,138.92 ",32500000,0.031036509,0.000540333
0.02,0.98,0.36," $568,408.69 ",32000000,0.03157826,0.000565225
0.02,0.98,0.37," $594,457.47 ",31500000,0.032132836,0.000591422
0.02,0.98,0.38," $621,311.90 ",31000000,0.032700626,0.000619005
0.02,0.98,0.39," $648,999.71 ",30500000,0.033282036,0.000648062
0.02,0.98,0.4," $677,549.77 ",30000000,0.033877488,0.000678687
0.02,0.98,0.41," $706,992.12 ",29500000,0.034487421,0.000710979
0.02,0.98,0.42," $737,358.09 ",29000000,0.03511229,0.000745049
0.02,0.98,0.43," $768,680.29 ",28500000,0.035752572,0.000781014
0.02,0.98,0.44," $800,992.75 ",28000000,0.036408761,0.000818999
0.02,0.98,0.45," $834,330.94 ",27500000,0.037081375,0.000859143
0.02,0.98,0.46," $868,731.90 ",27000000,0.037770952,0.000901594
0.02,0.98,0.47," $904,234.28 ",26500000,0.038478055,0.000946513
0.02,0.98,0.48," $940,878.47 ",26000000,0.039203269,0.000994075
0.02,0.98,0.49," $978,706.64 ",25500000,0.03994721,0.001044469
0.02,0.98,0.5," $1,017,762.94 ",25000000,0.040710518,0.001097902
0.02,0.98,0.51," $1,058,093.51 ",24500000,0.041493863,0.001154601
0.02,0.98,0.52," $1,099,746.69 ",24000000,0.04229795,0.00121481
0.02,0.98,0.53," $1,142,773.07 ",23500000,0.043123512,0.001278799
0.02,0.98,0.54," $1,187,225.72 ",23000000,0.043971323,0.001346862
0.02,0.98,0.55," $1,233,160.26 ",22500000,0.044842191,0.001419323
0.02,0.98,0.56," $1,280,635.09 ",22000000,0.045736967,0.001496537
0.02,0.98,0.57," $1,329,711.53 ",21500000,0.046656545,0.001578895
0.02,0.98,0.58," $1,380,454.05 ",21000000,0.047601864,0.001666828
0.02,0.98,0.59," $1,432,930.45 ",20500000,0.048573914,0.001760813
0.02,0.98,0.6," $1,487,212.14 ",20000000,0.049573738,0.001861379
0.02,0.98,0.61," $1,543,374.32 ",19500000,0.050602437,0.001969112
0.02,0.98,0.62," $1,601,496.37 ",19000000,0.051661173,0.002084666
0.02,0.98,0.63," $1,661,662.05 ",18500000,0.052751176,0.002208768
0.02,0.98,0.64," $1,723,959.91 ",18000000,0.053873747,0.002342234
0.02,0.98,0.65," $1,788,483.64 ",17500000,0.055030266,0.002485979
0.02,0.98,0.66," $1,855,332.51 ",17000000,0.056222197,0.002641031
0.02,0.98,0.67," $1,924,611.77 ",16500000,0.057451098,0.002808552
0.02,0.98,0.68," $1,996,433.26 ",16000000,0.058718625,0.002989856
0.02,0.98,0.69," $2,070,915.90 ",15500000,0.060026548,0.003186437
0.02,0.98,0.7," $2,148,186.40 ",15000000,0.061376754,0.003399999
0.02,0.98,0.71," $2,228,379.95 ",14500000,0.062771266,0.003632495
0.02,0.98,0.72," $2,311,641.06 ",14000000,0.064212252,0.003886168
0.02,0.98,0.73," $2,398,124.50 ",13500000,0.065702041,0.004163612
0.02,0.98,0.74," $2,487,996.37 ",13000000,0.067243145,0.004467836
0.02,0.98,0.75," $2,581,435.31 ",12500000,0.068838275,0.004802352
0.02,0.98,0.76," $2,678,633.96 ",12000000,0.070490367,0.005171285
0.02,0.98,0.77," $2,779,800.55 ",11500000,0.072202612,0.005579501
0.02,0.98,0.78," $2,885,160.85 ",11000000,0.073978483,0.006032788
0.02,0.98,0.79," $2,994,960.45 ",10500000,0.075821783,0.006538074
0.02,0.98,0.8," $3,109,467.36 ",10000000,0.077736684,0.007103724
