Ending Weight Token,Ending Weight USD,Sale Rate,Total Proceeds,Unsold Tokens,Average Price,Min Price
0.01,0.99,0.81,11106930.66,9500000,0.274245202,0.012382687
0.01,0.99,0.82,11696954.59,9000000,0.285291575,0.013747099
0.01,0.99,0.83,12323498.75,8500000,0.296951777,0.015316436
0.01,0.99,0.84,12989566.43,8000000,0.309275391,0.017133018
0.01,0.99,0.85,13698519.07,7500000,0.322318096,0.01925095
0.01,0.99,0.86,14454140.35,7000000,0.336142799,0.02174043
0.01,0.99,0.87,15260716.9,6500000,0.350821078,0.024694068
0.01,0.99,0.88,16123141.84,6000000,0.366435042,0.028236414
0.01,0.99,0.89,17047050.13,5500000,0.383079778,0.032538743
0.01,0.99,0.9,18038999.35,5000000,0.400866652,0.037842813
0.01,0.99,0.91,19106717.9,4500000,0.419927866,0.044500633
0.01,0.99,0.92,20259456.32,4000000,0.440422963,0.053044369
0.01,0.99,0.93,21508504.07,3500000,0.462548475,0.064316736
0.01,0.99,0.94,22867986.25,3000000,0.486552899,0.079732965
0.01,0.99,0.95,24356166.81,2500000,0.512761407,0.101859869
0.01,0.99,0.96,25997750.93,2000000,0.541619811,0.135870865
0.01,0.99,0.97,27828397.64,1500000,0.573781395,0.193936173
0.01,0.99,0.98,29904972.54,1000000,0.610305562,0.312910254
0.01,0.99,0.99,32334817.8,500000,0.653228642,0.679631982
0.02,0.98,0.01,14298.60658,49500000,0.028597213,0.000132239
0.02,0.98,0.02,29223.08628,49000000,0.029223086,0.000139932
0.02,0.98,0.03,44800.34966,48500000,0.0298669,0.000148064
0.02,0.98,0.04,61058.5045,48000000,0.030529252,0.000156661
0.02,0.98,0.05,78026.91312,47500000,0.031210765,0.00016575
0.02,0.98,0.06,95736.2527,47000000,0.031912084,0.000175361
0.02,0.98,0.07,114218.5788,46500000,0.03263388,0.000185525
0.02,0.98,0.08,133507.3921,46000000,0.033376848,0.000196275
0.02,0.98,0.09,153637.7093,45500000,0.034141713,0.000207646
0.02,0.98,0.1,174646.1371,45000000,0.034929227,0.000219677
0.02,0.98,0.11,196570.9508,44500000,0.035740173,0.000232407
0.02,0.98,0.12,219452.1766,44000000,0.036575363,0.000245879
0.02,0.98,0.13,243331.6796,43500000,0.037435643,0.000260138
0.02,0.98,0.14,268253.255,43000000,0.038321894,0.000275234
0.02,0.98,0.15,294262.7262,42500000,0.03923503,0.000291219
0.02,0.98,0.16,321408.0469,42000000,0.040176006,0.000308147
